Instance,Init,Algorithm,Cost,Time_s
N-stabu2_150,Random,Transpose_Best,2730307,0.000012
N-stabu2_150,Random,Exchange_First,4215338,0.391674
N-stabu2_150,Random,Exchange_Best,4231238,0.074122
N-stabu2_150,Random,Insert_First,4259868,0.406633
N-stabu2_150,Random,Insert_Best,4224250,0.066774
N-stabu2_150,CW,Transpose_First,3615368,0.000007
N-stabu2_150,CW,Transpose_Best,3642431,0.000010
N-stabu2_150,CW,Exchange_First,4233010,0.318974
N-stabu2_150,CW,Exchange_Best,4216998,0.054106
N-stabu2_150,CW,Insert_First,4257047,0.312761
N-stabu2_150,CW,Insert_Best,4252349,0.060512
N-stabu2_150,CW,VND_TEI,4255952,0.317694
N-stabu2_150,CW,VND_TIE,4260123,0.290471
N-stabu2_250,Random,Transpose_First,8062091,0.000014
N-stabu2_250,Random,Transpose_Best,8105175,0.000025
N-stabu2_250,Random,Exchange_First,11173048,4.096683
N-stabu2_250,Random,Exchange_Best,11086653,0.602074
N-stabu2_250,Random,Insert_First,11246083,4.064893
N-stabu2_250,Random,Insert_Best,11282792,0.651875
N-stabu2_250,CW,Transpose_First,9796998,0.000015
N-stabu2_250,CW,Transpose_Best,9809566,0.000023
N-stabu2_250,CW,Exchange_First,11246102,3.425679
N-stabu2_250,CW,Exchange_Best,11175831,0.595300
N-stabu2_250,CW,Insert_First,11343204,3.105543
N-stabu2_250,CW,Insert_Best,11308204,0.557810
N-stabu2_250,CW,VND_TEI,11314259,3.644226
N-stabu2_250,CW,VND_TIE,11346299,2.593076
N-stabu3_150,Random,Transpose_First,2651712,0.000008
N-stabu3_150,Random,Transpose_Best,2647243,0.000009
N-stabu3_150,Random,Exchange_First,4398699,0.355497
N-stabu3_150,Random,Exchange_Best,4350861,0.054716
N-stabu3_150,Random,Insert_First,4459764,0.405053
N-stabu3_150,Random,Insert_Best,4432284,0.080773
N-stabu3_150,CW,Transpose_First,3761091,0.000005
N-stabu3_150,CW,Transpose_Best,3785524,0.000007
N-stabu3_150,CW,Exchange_First,4400030,0.314285
N-stabu3_150,CW,Exchange_Best,4387071,0.055944
N-stabu3_150,CW,Insert_First,4435836,0.286953
N-stabu3_150,CW,Insert_Best,4435643,0.059721
N-stabu3_150,CW,VND_TEI,4454501,0.300715
N-stabu3_150,CW,VND_TIE,4437147,0.296397
N-stabu3_250,Random,Transpose_First,7552108,0.000018
N-stabu3_250,Random,Transpose_Best,7592894,0.000028
N-stabu3_250,Random,Exchange_First,11567513,4.885590
N-stabu3_250,Random,Exchange_Best,11549906,0.643751
N-stabu3_250,Random,Insert_First,11751489,4.223542
N-stabu3_250,Random,Insert_Best,11614266,0.656449
N-stabu3_250,CW,Transpose_First,10037521,0.000016
N-stabu3_250,CW,Transpose_Best,10074173,0.000031
N-stabu3_250,CW,Exchange_First,11648757,4.198281
N-stabu3_250,CW,Exchange_Best,11578664,0.551069
N-stabu3_250,CW,Insert_First,11727769,3.151768
N-stabu3_250,CW,Insert_Best,11656789,0.541870
N-stabu3_250,CW,VND_TEI,11712428,4.088976
N-stabu3_250,CW,VND_TIE,11714351,2.941182
N-t59b11xx_150,Random,Transpose_First,2190795,0.000005
N-t59b11xx_150,Random,Transpose_Best,2197385,0.000005
N-t59b11xx_150,Random,Exchange_First,3173245,0.241671
N-t59b11xx_150,Random,Exchange_Best,3127495,0.051653
N-t59b11xx_150,Random,Insert_First,3187265,0.291919
N-t59b11xx_150,Random,Insert_Best,3173655,0.077609
N-t59b11xx_150,CW,Transpose_First,2677330,0.000007
N-t59b11xx_150,CW,Transpose_Best,2679880,0.000006
N-t59b11xx_150,CW,Exchange_First,3148520,0.184303
N-t59b11xx_150,CW,Exchange_Best,3135240,0.045006
N-t59b11xx_150,CW,Insert_First,3190210,0.187480
N-t59b11xx_150,CW,Insert_Best,3162490,0.067607
N-t59b11xx_150,CW,VND_TEI,3169290,0.251731
N-t59b11xx_150,CW,VND_TIE,3184865,0.199377
N-t59b11xx_250,Random,Transpose_First,5591620,0.000010
N-t59b11xx_250,Random,Transpose_Best,5591855,0.000011
N-t59b11xx_250,Random,Exchange_First,8156485,2.615437
N-t59b11xx_250,Random,Exchange_Best,8109395,0.603476
N-t59b11xx_250,Random,Insert_First,8225225,3.056800
N-t59b11xx_250,Random,Insert_Best,8146530,0.684729
N-t59b11xx_250,CW,Transpose_First,7040520,0.000010
N-t59b11xx_250,CW,Transpose_Best,7047045,0.000018
N-t59b11xx_250,CW,Exchange_First,8188485,2.376512
N-t59b11xx_250,CW,Exchange_Best,8135045,0.481039
N-t59b11xx_250,CW,Insert_First,8270180,2.196891
N-t59b11xx_250,CW,Insert_Best,8220960,0.653384
N-t59b11xx_250,CW,VND_TEI,8268925,3.154985
N-t59b11xx_250,CW,VND_TIE,8268325,2.095706
N-t59d11xx_150,Random,Transpose_First,944878,0.000008
N-t59d11xx_150,Random,Transpose_Best,945637,0.000007
N-t59d11xx_150,Random,Exchange_First,1420614,0.262314
N-t59d11xx_150,Random,Exchange_Best,1408677,0.056706
N-t59d11xx_150,Random,Insert_First,1433021,0.320643
N-t59d11xx_150,Random,Insert_Best,1434708,0.078466
N-t59d11xx_150,CW,Transpose_First,1225613,0.000005
N-t59d11xx_150,CW,Transpose_Best,1228680,0.000007
N-t59d11xx_150,CW,Exchange_First,1426626,0.218098
N-t59d11xx_150,CW,Exchange_Best,1417185,0.041405
N-t59d11xx_150,CW,Insert_First,1441317,0.277918
N-t59d11xx_150,CW,Insert_Best,1441103,0.063072
N-t59d11xx_150,CW,VND_TEI,1436146,0.228533
N-t59d11xx_150,CW,VND_TIE,1443691,0.243437
N-t59d11xx_250,Random,Transpose_First,2676664,0.000010
N-t59d11xx_250,Random,Transpose_Best,2685286,0.000021
N-t59d11xx_250,Random,Exchange_First,3749417,3.062206
N-t59d11xx_250,Random,Exchange_Best,3714911,0.529436
N-t59d11xx_250,Random,Insert_First,3774817,3.248629
N-t59d11xx_250,Random,Insert_Best,3782677,0.664559
N-t59d11xx_250,CW,Transpose_First,3256071,0.000009
N-t59d11xx_250,CW,Transpose_Best,3260352,0.000017
N-t59d11xx_250,CW,Exchange_First,3754827,2.515201
N-t59d11xx_250,CW,Exchange_Best,3728072,0.466782
N-t59d11xx_250,CW,Insert_First,3792906,2.191352
N-t59d11xx_250,CW,Insert_Best,3762976,0.503311
N-t59d11xx_250,CW,VND_TEI,3800277,3.026448
N-t59d11xx_250,CW,VND_TIE,3780609,2.135581
N-t59f11xx_150,Random,Transpose_First,1017299,0.000006
N-t59f11xx_150,Random,Transpose_Best,1020804,0.000021
N-t59f11xx_150,Random,Exchange_First,1489560,0.240907
N-t59f11xx_150,Random,Exchange_Best,1490221,0.054883
N-t59f11xx_150,Random,Insert_First,1514993,0.290413
