Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-stabu1_150,CW,Insert_First,2810220,0.231294,2.278098
N-stabu1_150,CW,Insert_Best,2836229,0.067828,1.373668
N-stabu1_150,CW,VND_TEI,2833870,0.326147,1.455699
N-stabu1_150,CW,VND_TIE,2810645,0.256045,2.263319
N-stabu1_250,Random,Transpose_First,4880794,0.000034,36.960551
N-stabu1_250,Random,Transpose_Best,4871705,0.000035,37.077943
N-stabu1_250,Random,Exchange_First,7551833,4.796984,2.461897
N-stabu1_250,Random,Exchange_Best,7529820,0.709096,2.746213
N-stabu1_250,Random,Insert_First,7623629,4.238652,1.534593
N-stabu1_250,Random,Insert_Best,7565869,0.667756,2.280611
N-stabu1_250,CW,Transpose_First,6569513,0.000021,15.149364
N-stabu1_250,CW,Transpose_Best,6582511,0.000035,14.981484
N-stabu1_250,CW,Exchange_First,7589315,3.966136,1.977786
N-stabu1_250,CW,Exchange_Best,7533872,0.489398,2.693878
N-stabu1_250,CW,Insert_First,7612236,2.572249,1.681743
N-stabu1_250,CW,Insert_Best,7602849,0.572210,1.802984
N-stabu1_250,CW,VND_TEI,7628439,4.000642,1.472468
N-stabu1_250,CW,VND_TIE,7622777,2.621387,1.545597
N-stabu2_150,Random,Transpose_First,2726108,0.000009,37.005568
N-stabu2_150,Random,Transpose_Best,2730307,0.000013,36.908538
N-stabu2_150,Random,Exchange_First,4215338,0.405844,2.592698
N-stabu2_150,Random,Exchange_Best,4231238,0.077175,2.225284
N-stabu2_150,Random,Insert_First,4259868,0.373550,1.563707
N-stabu2_150,Random,Insert_Best,4224250,0.068363,2.386761
N-stabu2_150,CW,Transpose_First,3615368,0.000007,16.456701
N-stabu2_150,CW,Transpose_Best,3642431,0.000010,15.831334
N-stabu2_150,CW,Exchange_First,4233010,0.331468,2.184337
N-stabu2_150,CW,Exchange_Best,4216998,0.056345,2.554339
N-stabu2_150,CW,Insert_First,4257047,0.285387,1.628894
N-stabu2_150,CW,Insert_Best,4252349,0.064911,1.737454
N-stabu2_150,CW,VND_TEI,4255952,0.330518,1.654197
