Instance,Init,Algorithm,Cost,Time_s
N-stabu2_250,CW,VND_TIE,11346299,2.512724
N-stabu3_150,Random,Transpose_First,2651712,0.000010
N-stabu3_150,Random,Transpose_Best,2647243,0.000009
N-stabu3_150,Random,Exchange_First,4398699,0.374552
N-stabu3_150,Random,Exchange_Best,4350861,0.058733
N-stabu3_150,Random,Insert_First,4459764,0.375220
N-stabu3_150,Random,Insert_Best,4432284,0.088599
N-stabu3_150,CW,Transpose_First,3761091,0.000006
N-stabu3_150,CW,Transpose_Best,3785524,0.000009
N-stabu3_150,CW,Exchange_First,4400030,0.328226
N-stabu3_150,CW,Exchange_Best,4387071,0.059624
N-stabu3_150,CW,Insert_First,4435836,0.262334
N-stabu3_150,CW,Insert_Best,4435643,0.060487
N-stabu3_150,CW,VND_TEI,4454501,0.312797
N-stabu3_150,CW,VND_TIE,4437147,0.274740
N-stabu3_250,Random,Transpose_First,7552108,0.000015
N-stabu3_250,Random,Transpose_Best,7592894,0.000028
N-stabu3_250,Random,Exchange_First,11567513,5.135155
N-stabu3_250,Random,Exchange_Best,11549906,0.711259
N-stabu3_250,Random,Insert_First,11751489,4.054953
N-stabu3_250,Random,Insert_Best,11614266,0.705988
N-stabu3_250,CW,Transpose_First,10037521,0.000020
N-stabu3_250,CW,Transpose_Best,10074173,0.000033
N-stabu3_250,CW,Exchange_First,11648757,4.362659
N-stabu3_250,CW,Exchange_Best,11578664,0.571334
N-stabu3_250,CW,Insert_First,11727769,3.005859
N-stabu3_250,CW,Insert_Best,11656789,0.566630
N-stabu3_250,CW,VND_TEI,11712428,4.212340
N-stabu3_250,CW,VND_TIE,11714351,2.837478
N-t59b11xx_150,Random,Transpose_First,2190795,0.000006
N-t59b11xx_150,Random,Transpose_Best,2197385,0.000008
N-t59b11xx_150,Random,Exchange_First,3173245,0.249097
N-t59b11xx_150,Random,Exchange_Best,3127495,0.054247
N-t59b11xx_150,Random,Insert_First,3187265,0.262450
N-t59b11xx_150,Random,Insert_Best,3173655,0.079172
N-t59b11xx_150,CW,Transpose_First,2677330,0.000004
N-t59b11xx_150,CW,Transpose_Best,2679880,0.000006
N-t59b11xx_150,CW,Exchange_First,3148520,0.188482
N-t59b11xx_150,CW,Exchange_Best,3135240,0.045109
N-t59b11xx_150,CW,Insert_First,3190210,0.171132
N-t59b11xx_150,CW,Insert_Best,3162490,0.070313
N-t59b11xx_150,CW,VND_TEI,3169290,0.267921
N-t59b11xx_150,CW,VND_TIE,3184865,0.181633
N-t59b11xx_250,Random,Transpose_First,5591620,0.000010
N-t59b11xx_250,Random,Transpose_Best,5591855,0.000016
N-t59b11xx_250,Random,Exchange_First,8156485,2.699156
N-t59b11xx_250,Random,Exchange_Best,8109395,0.625638
N-t59b11xx_250,Random,Insert_First,8225225,2.898164
N-t59b11xx_250,Random,Insert_Best,8146530,0.709261
N-t59b11xx_250,CW,Transpose_First,7040520,0.000014
N-t59b11xx_250,CW,Transpose_Best,7047045,0.000018
N-t59b11xx_250,CW,Exchange_First,8188485,2.445680
N-t59b11xx_250,CW,Exchange_Best,8135045,0.492386
N-t59b11xx_250,CW,Insert_First,8270180,2.079982
N-t59b11xx_250,CW,Insert_Best,8220960,0.665750
N-t59b11xx_250,CW,VND_TEI,8268925,3.217338
N-t59b11xx_250,CW,VND_TIE,8268325,2.003950
N-t59d11xx_150,Random,Transpose_First,944878,0.000007
N-t59d11xx_150,Random,Transpose_Best,945637,0.000007
N-t59d11xx_150,Random,Exchange_First,1420614,0.265419
N-t59d11xx_150,Random,Exchange_Best,1408677,0.059736
N-t59d11xx_150,Random,Insert_First,1433021,0.290556
N-t59d11xx_150,Random,Insert_Best,1434708,0.083957
N-t59d11xx_150,CW,Transpose_First,1225613,0.000005
N-t59d11xx_150,CW,Transpose_Best,1228680,0.000007
N-t59d11xx_150,CW,Exchange_First,1426626,0.220110
N-t59d11xx_150,CW,Exchange_Best,1417185,0.044941
N-t59d11xx_150,CW,Insert_First,1441317,0.246272
N-t59d11xx_150,CW,Insert_Best,1441103,0.066771
N-t59d11xx_150,CW,VND_TEI,1436146,0.240099
N-t59d11xx_150,CW,VND_TIE,1443691,0.217922
N-t59d11xx_250,Random,Transpose_First,2676664,0.000011
N-t59d11xx_250,Random,Transpose_Best,2685286,0.000021
N-t59d11xx_250,Random,Exchange_First,3749417,3.152356
N-t59d11xx_250,Random,Exchange_Best,3714911,0.565566
N-t59d11xx_250,Random,Insert_First,3774817,3.075067
N-t59d11xx_250,Random,Insert_Best,3782677,0.680372
N-t59d11xx_250,CW,Transpose_First,3256071,0.000012
N-t59d11xx_250,CW,Transpose_Best,3260352,0.000018
N-t59d11xx_250,CW,Exchange_First,3754827,2.585676
N-t59d11xx_250,CW,Exchange_Best,3728072,0.481140
N-t59d11xx_250,CW,Insert_First,3792906,2.080338
N-t59d11xx_250,CW,Insert_Best,3762976,0.520706
N-t59d11xx_250,CW,VND_TEI,3800277,3.072739
N-t59d11xx_250,CW,VND_TIE,3780609,2.003926
N-t59f11xx_150,Random,Transpose_First,1017299,0.000006
N-t59f11xx_150,Random,Transpose_Best,1020804,0.000010
N-t59f11xx_150,Random,Exchange_First,1489560,0.252345
N-t59f11xx_150,Random,Exchange_Best,1490221,0.055893
N-t59f11xx_150,Random,Insert_First,1514993,0.261248
N-t59f11xx_150,Random,Insert_Best,1518942,0.083561
N-t59f11xx_150,CW,Transpose_First,1282066,0.000006
N-t59f11xx_150,CW,Transpose_Best,1284294,0.000009
N-t59f11xx_150,CW,Exchange_First,1516395,0.243159
N-t59f11xx_150,CW,Exchange_Best,1490938,0.043656
N-t59f11xx_150,CW,Insert_First,1528630,0.209670
N-t59f11xx_150,CW,Insert_Best,1522456,0.075711
N-t59f11xx_150,CW,VND_TEI,1514893,0.233209
N-t59f11xx_150,CW,VND_TIE,1525458,0.224395
N-t59f11xx_250,Random,Transpose_First,2807380,0.000012
N-t59f11xx_250,Random,Transpose_Best,2812452,0.000019
N-t59f11xx_250,Random,Exchange_First,3867492,3.171309
N-t59f11xx_250,Random,Exchange_Best,3858154,0.574234
N-t59f11xx_250,Random,Insert_First,3926619,2.889718
N-t59f11xx_250,Random,Insert_Best,3886358,0.618930
N-t59f11xx_250,CW,Transpose_First,3302880,0.000009
N-t59f11xx_250,CW,Transpose_Best,3308860,0.000045
N-t59f11xx_250,CW,Exchange_First,3902339,2.807913
N-t59f11xx_250,CW,Exchange_Best,3859920,0.565093
N-t59f11xx_250,CW,Insert_First,3926705,2.196044
N-t59f11xx_250,CW,Insert_Best,3916172,0.616542
N-t59f11xx_250,CW,VND_TEI,3923064,3.115094
N-t59f11xx_250,CW,VND_TIE,3929087,2.068818
N-t59n11xx_150,Random,Transpose_First,201789,0.000008
N-t59n11xx_150,Random,Transpose_Best,202344,0.000010
N-t59n11xx_150,Random,Exchange_First,309357,0.331551
N-t59n11xx_150,Random,Exchange_Best,309362,0.072923
N-t59n11xx_150,Random,Insert_First,311760,0.247783
N-t59n11xx_150,Random,Insert_Best,315761,0.087426
N-t59n11xx_150,CW,Transpose_First,268707,0.000005
N-t59n11xx_150,CW,Transpose_Best,268569,0.000008
N-t59n11xx_150,CW,Exchange_First,309278,0.208276
N-t59n11xx_150,CW,Exchange_Best,308479,0.054548
N-t59n11xx_150,CW,Insert_First,312672,0.203287
N-t59n11xx_150,CW,Insert_Best,312580,0.066328
N-t59n11xx_150,CW,VND_TEI,311997,0.222038
N-t59n11xx_150,CW,VND_TIE,312882,0.197247
N-t59n11xx_250,Random,Transpose_First,551214,0.000012
