Instance,Init,Algorithm,Cost,Time_s
N-t59n11xx_250,CW,Transpose_First,677500,0.000013
N-t59n11xx_250,CW,Transpose_Best,677908,0.000020
N-t59n11xx_250,CW,Exchange_First,801923,2.889878
N-t59n11xx_250,CW,Exchange_Best,800054,0.453066
N-t59n11xx_250,CW,Insert_First,807647,2.256845
N-t59n11xx_250,CW,Insert_Best,808042,0.595913
N-t59n11xx_250,CW,VND_TEI,808894,3.075359
N-t59n11xx_250,CW,VND_TIE,806980,2.043947
N-t65b11xx_150,Random,Transpose_First,4321260,0.000006
N-t65b11xx_150,Random,Transpose_Best,4336920,0.000011
N-t65b11xx_150,Random,Exchange_First,6288862,0.362092
N-t65b11xx_150,Random,Exchange_Best,6155506,0.065025
N-t65b11xx_150,Random,Insert_First,6357867,0.378166
N-t65b11xx_150,Random,Insert_Best,6298106,0.085241
N-t65b11xx_150,CW,Transpose_First,5358202,0.000007
N-t65b11xx_150,CW,Transpose_Best,5368063,0.000009
N-t65b11xx_150,CW,Exchange_First,6289715,0.256043
N-t65b11xx_150,CW,Exchange_Best,6273353,0.060660
N-t65b11xx_150,CW,Insert_First,6313937,0.238101
N-t65b11xx_150,CW,Insert_Best,6331977,0.065405
N-t65b11xx_150,CW,VND_TEI,6340222,0.293701
N-t65b11xx_150,CW,VND_TIE,6313684,0.239683
N-t65b11xx_250,Random,Transpose_First,10983195,0.000011
N-t65b11xx_250,Random,Transpose_Best,11094873,0.000021
N-t65b11xx_250,Random,Exchange_First,16760124,4.083253
N-t65b11xx_250,Random,Exchange_Best,16567664,0.585109
N-t65b11xx_250,Random,Insert_First,16780305,3.746235
N-t65b11xx_250,Random,Insert_Best,16880766,0.670836
N-t65b11xx_250,CW,Transpose_First,14209759,0.000015
N-t65b11xx_250,CW,Transpose_Best,14206807,0.000023
N-t65b11xx_250,CW,Exchange_First,16881483,3.882817
N-t65b11xx_250,CW,Exchange_Best,16685819,0.524990
N-t65b11xx_250,CW,Insert_First,16922940,2.922353
